,start,stop,filename,cluster,index
0,0,8754,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,10221,956
1,20480,29234,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,8217,957
2,81920,131634,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,321,958
3,458752,475698,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,7779,959
4,532480,557618,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,8899,960
5,622592,631346,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,1324,961
6,643072,651826,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,6566,962
7,708608,721458,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,7990,963
8,1126400,1163826,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,10232,964
9,1253376,1335858,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,3,965
10,1372160,1524274,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,2,966
11,1622016,1630770,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,10278,967
12,1712128,1729074,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,10793,968
13,1736704,1745458,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,5915,969
14,1748992,1798706,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,170,970
15,2011136,2019890,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,9963,971
16,2048000,2060850,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,8791,972
17,2097152,2105906,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,8868,973
18,2482176,2490930,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,8465,974
19,2535424,2544178,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,9446,975
20,2818048,2826802,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,2726,976
21,2891776,2900530,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,8223,977
22,2912256,2921010,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,5691,978
23,2977792,2990642,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,10040,979
24,3006464,3027506,/media/dkohlsdorf/GODZILLA/2011_wav//06281101C.wav,8526,980
