,start,stop,filename,cluster,names,anno,behavior
0,16703488,16753202,/media/dkohlsdorf/GODZILLA/2011_wav//07301101.wav,14,RIVET BABY ZOT NASSAU LAGUNA AMANDA ZEN BONITO NEREIDE LEUCADIA MERIDIAN,FORAGE PLAY MACKERAL SWIM BY PLAY WITH SARGASSUM PLAY WITH SCARF,FO PL
1,38735872,38769202,/media/dkohlsdorf/GODZILLA/2011_wav//07301101.wav,14,RIVET BABY ZOT NASSAU LAGUNA AMANDA ZEN BONITO NEREIDE LEUCADIA MERIDIAN,FORAGE PLAY MACKERAL SWIM BY PLAY WITH SARGASSUM PLAY WITH SCARF,FO PL
2,45228032,45277746,/media/dkohlsdorf/GODZILLA/2011_wav//07301101.wav,14,RIVET BABY ZOT NASSAU LAGUNA AMANDA ZEN BONITO NEREIDE LEUCADIA MERIDIAN,FORAGE PLAY MACKERAL SWIM BY PLAY WITH SARGASSUM PLAY WITH SCARF,FO PL
3,23470080,23478834,/media/dkohlsdorf/GODZILLA/2011_wav//07301101.wav,60,RIVET BABY ZOT NASSAU LAGUNA AMANDA ZEN BONITO NEREIDE LEUCADIA MERIDIAN,FORAGE PLAY MACKERAL SWIM BY PLAY WITH SARGASSUM PLAY WITH SCARF,FO PL
4,679936,766514,/media/dkohlsdorf/GODZILLA/2011_wav//07301101.wav,62,RIVET BABY ZOT NASSAU LAGUNA AMANDA ZEN BONITO NEREIDE LEUCADIA MERIDIAN,FORAGE PLAY MACKERAL SWIM BY PLAY WITH SARGASSUM PLAY WITH SCARF,FO PL
5,770048,844338,/media/dkohlsdorf/GODZILLA/2011_wav//07301101.wav,62,RIVET BABY ZOT NASSAU LAGUNA AMANDA ZEN BONITO NEREIDE LEUCADIA MERIDIAN,FORAGE PLAY MACKERAL SWIM BY PLAY WITH SARGASSUM PLAY WITH SCARF,FO PL
6,1191936,1233458,/media/dkohlsdorf/GODZILLA/2011_wav//07301101.wav,62,RIVET BABY ZOT NASSAU LAGUNA AMANDA ZEN BONITO NEREIDE LEUCADIA MERIDIAN,FORAGE PLAY MACKERAL SWIM BY PLAY WITH SARGASSUM PLAY WITH SCARF,FO PL
7,3272704,3359282,/media/dkohlsdorf/GODZILLA/2011_wav//07301101.wav,62,RIVET BABY ZOT NASSAU LAGUNA AMANDA ZEN BONITO NEREIDE LEUCADIA MERIDIAN,FORAGE PLAY MACKERAL SWIM BY PLAY WITH SARGASSUM PLAY WITH SCARF,FO PL
8,5787648,5829170,/media/dkohlsdorf/GODZILLA/2011_wav//07301101.wav,62,RIVET BABY ZOT NASSAU LAGUNA AMANDA ZEN BONITO NEREIDE LEUCADIA MERIDIAN,FORAGE PLAY MACKERAL SWIM BY PLAY WITH SARGASSUM PLAY WITH SCARF,FO PL
9,9781248,9835058,/media/dkohlsdorf/GODZILLA/2011_wav//07301101.wav,62,RIVET BABY ZOT NASSAU LAGUNA AMANDA ZEN BONITO NEREIDE LEUCADIA MERIDIAN,FORAGE PLAY MACKERAL SWIM BY PLAY WITH SARGASSUM PLAY WITH SCARF,FO PL
