,start,stop,filename,cluster,index,behavior
0,0,16946,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,7976,868,"['FO', 'TR']"
1,28672,37426,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,680,869,"['FO', 'TR']"
2,180224,188978,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,650,870,"['FO', 'TR']"
3,303104,311858,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,1368,871,"['FO', 'TR']"
4,335872,344626,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,666,872,"['FO', 'TR']"
5,348160,356914,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,2668,873,"['FO', 'TR']"
6,393216,401970,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,5860,874,"['FO', 'TR']"
7,405504,414258,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,2689,875,"['FO', 'TR']"
8,524288,533042,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,1366,876,"['FO', 'TR']"
9,659456,668210,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,7343,877,"['FO', 'TR']"
10,860160,873010,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,7201,878,"['FO', 'TR']"
11,880640,889394,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,8228,879,"['FO', 'TR']"
12,1105920,1114674,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,8826,880,"['FO', 'TR']"
13,1335296,1344050,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,7963,881,"['FO', 'TR']"
14,1413120,1425970,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,11136,882,"['FO', 'TR']"
15,1519616,1536562,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,9547,883,"['FO', 'TR']"
16,1732608,1749554,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,10867,884,"['FO', 'TR']"
17,1855488,1864242,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,10451,885,"['FO', 'TR']"
18,2088960,2101810,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,9164,886,"['FO', 'TR']"
19,2256896,2265650,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,602,887,"['FO', 'TR']"
20,2355200,2363954,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,8973,888,"['FO', 'TR']"
21,2441216,2454066,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,10851,889,"['FO', 'TR']"
22,2510848,2519602,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,87,890,"['FO', 'TR']"
23,2543616,2552370,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,696,891,"['FO', 'TR']"
24,2564096,2572850,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,9890,892,"['FO', 'TR']"
25,2842624,2851378,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,1368,893,"['FO', 'TR']"
26,3043328,3052082,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,7056,894,"['FO', 'TR']"
27,3334144,3342898,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,10862,895,"['FO', 'TR']"
28,3506176,3514930,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,680,896,"['FO', 'TR']"
29,3547136,3555890,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,1366,897,"['FO', 'TR']"
30,3993600,4002354,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,7380,898,"['FO', 'TR']"
31,4542464,4551218,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,325,899,"['FO', 'TR']"
32,4792320,4809266,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,345,900,"['FO', 'TR']"
33,4861952,4870706,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,5930,901,"['FO', 'TR']"
34,4898816,4907570,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,8996,902,"['FO', 'TR']"
35,4939776,4948530,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,9894,903,"['FO', 'TR']"
36,5312512,5321266,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,49,904,"['FO', 'TR']"
37,5324800,5341746,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,1,905,"['FO', 'TR']"
38,5361664,5374514,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,328,906,"['FO', 'TR']"
39,5472256,5481010,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,8883,907,"['FO', 'TR']"
40,5681152,5689906,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,10,908,"['FO', 'TR']"
41,5828608,5837362,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,5893,909,"['FO', 'TR']"
42,6070272,6079026,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,1331,910,"['FO', 'TR']"
43,6135808,6148658,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,345,911,"['FO', 'TR']"
44,6283264,6292018,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,10753,912,"['FO', 'TR']"
45,6520832,6529586,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,680,913,"['FO', 'TR']"
46,6541312,6550066,/media/dkohlsdorf/GODZILLA/2011_wav//08111101C.wav,7135,914,"['FO', 'TR']"
